order_id,customer_id,shipper_id,product_id,quantity,car_price,order_date,ship_date,discount,ship_mode,shipping,customer_feedback,quarter_number
55910-042,64990-601,1482,3900,2,86923.41,2/17/2018,2/27/2018,0.62,Same Day,Air,Good,1
0113-0166,54868-5545,1573,3746,2,77562.54,2/18/2018,3/25/2018,0.54,Second Class,Air,Very Good,1
0268-6640,68745-1057,1809,4550,1,86074.14,2/18/2018,3/30/2018,0.44,Second Class,Truck,Very Good,1
0591-0885,10631-099,2356,3519,2,75369.26,2/18/2018,3/22/2018,0.49,Standard Class,Air,Very Good,1
47682-073,50730-8719,3648,4196,2,90636.01,2/18/2018,4/19/2018,0.6,Second Class,Air,Okay,1
57237-095,75857-1123,2551,4534,2,87230.48,2/18/2018,3/22/2018,0.55,First Class,Truck,Very Good,1
63304-445,0713-0166,2110,4435,2,96712,2/18/2018,4/3/2018,0.65,Same Day,Truck,Good,1
54473-210,53808-0396,2901,4057,1,96216.23,2/19/2018,5/17/2018,0.58,Same Day,Air,Very Good,1
55154-2416,50844-753,3098,4154,2,71133.07,2/19/2018,3/26/2018,0.69,Standard Class,Truck,Good,1
13537-217,65517-0027,3119,4532,2,73653.04,2/20/2018,4/5/2018,0.5,Second Class,Truck,Very Good,1
41900-500,24385-549,3581,4420,1,91276.11,2/20/2018,2/28/2018,0.4,First Class,Air,Good,1
49349-069,53808-0832,2010,3650,1,95008.58,2/20/2018,5/15/2018,0.62,Second Class,Truck,Good,1
49884-397,64679-743,2519,3501,1,80690.46,2/20/2018,3/27/2018,0.4,Same Day,Air,Good,1
50322-005,32909-723,1797,3537,1,80887.67,2/20/2018,4/26/2018,0.57,Standard Class,Air,Good,1
65003-018,36800-004,1893,4740,1,89147.6,2/20/2018,5/29/2018,0.56,Standard Class,Truck,Very Good,1
0641-6073,0555-1054,3975,4706,1,77883.92,2/21/2018,3/3/2018,0.67,First Class,Air,Very Good,1
13668-343,36987-1163,2669,4190,2,72719.15,2/21/2018,3/4/2018,0.67,First Class,Air,Very Good,1
43269-835,55154-7453,3253,4450,2,81030.05,2/21/2018,3/28/2018,0.68,First Class,Truck,Okay,1
49288-0906,36000-175,1840,4956,2,99490.76,2/21/2018,2/28/2018,0.51,Standard Class,Air,Good,1
55154-0680,52584-626,1702,4183,2,95633.17,2/21/2018,4/26/2018,0.46,Second Class,Air,Good,1
59958-200,0178-0370,3605,4681,1,97440.6,2/21/2018,3/28/2018,0.62,Second Class,Truck,Okay,1
0591-0338,36800-262,1211,4997,1,70851.06,2/22/2018,3/13/2018,0.65,Same Day,Air,Very Good,1
21749-527,16590-301,2754,4934,2,97391.9,2/22/2018,5/5/2018,0.48,First Class,Air,Okay,1
54569-0322,59746-211,1883,3977,1,77735.37,2/22/2018,4/23/2018,0.4,Second Class,Truck,Very Good,1
55504-9003,41163-478,3911,4370,2,96258.12,2/22/2018,4/28/2018,0.56,Standard Class,Truck,Good,1
57520-1044,0591-5307,2332,4629,2,94221.38,2/22/2018,3/16/2018,0.47,First Class,Truck,Very Good,1
59078-031,0603-2433,3878,4035,1,97713.69,2/22/2018,3/29/2018,0.58,Same Day,Truck,Very Good,1
0440-1771,52959-997,2911,4627,1,71645.3,2/23/2018,4/5/2018,0.47,Second Class,Air,Good,1
11896-0018,50563-112,3044,4307,2,85728.11,2/23/2018,5/5/2018,0.5,Standard Class,Truck,Good,1
55301-243,52054-215,1057,4998,1,99698.28,2/23/2018,4/17/2018,0.57,First Class,Air,Good,1
58118-0212,0135-0460,3120,4720,2,80727.51,2/23/2018,4/19/2018,0.46,Standard Class,Truck,Very Good,1
76519-1011,51523-018,2001,3786,1,84706.81,2/23/2018,5/4/2018,0.56,Same Day,Truck,Okay,1
25021-824,11822-0900,1144,4991,1,94894.77,2/24/2018,2/28/2018,0.64,Same Day,Air,Okay,1
36987-2236,65841-695,2801,4231,1,83302.01,2/24/2018,4/19/2018,0.5,First Class,Air,Good,1
43353-867,60760-978,1592,3710,1,90113.46,2/24/2018,5/26/2018,0.48,Same Day,Truck,Very Good,1
49738-872,54868-5585,3611,3560,2,71224.95,2/24/2018,4/14/2018,0.54,Same Day,Truck,Good,1
52686-230,49967-372,2080,4130,2,78948.71,2/24/2018,4/26/2018,0.47,Second Class,Truck,Very Good,1
10596-330,0591-0932,3462,4400,1,81230.36,2/25/2018,4/4/2018,0.54,First Class,Truck,Very Good,1
44924-116,57955-1531,2362,4268,1,98595.76,2/25/2018,3/4/2018,0.44,Standard Class,Truck,Very Good,1
49288-0145,16571-150,1140,4972,1,76048.61,2/25/2018,3/4/2018,0.46,Second Class,Truck,Very Good,1
65044-6695,0597-0058,1510,4588,1,89167.22,2/25/2018,5/5/2018,0.49,First Class,Air,Okay,1
0135-0484,59450-200,3778,3903,1,74809.42,2/26/2018,4/5/2018,0.45,Standard Class,Air,Okay,1
0268-1069,63304-581,1808,4423,1,95019.74,2/26/2018,5/20/2018,0.6,First Class,Truck,Good,1
0378-7155,49643-301,3871,3998,2,82663.59,2/26/2018,5/13/2018,0.49,Standard Class,Air,Good,1
41520-958,60505-0821,2575,3882,2,71998.06,2/26/2018,5/5/2018,0.7,Second Class,Air,Good,1
58914-012,33261-158,1876,4380,2,73107.99,2/26/2018,5/5/2018,0.48,Second Class,Air,Okay,1
43742-0197,24488-027,2604,4954,1,99052.11,2/27/2018,5/17/2018,0.65,Second Class,Truck,Very Good,1
52125-827,49348-788,3861,4480,1,84795.67,2/27/2018,3/4/2018,0.4,First Class,Air,Very Good,1
57520-0955,24909-606,1701,4695,1,86014.7,2/27/2018,5/5/2018,0.49,Standard Class,Truck,Okay,1
65585-511,53489-330,3714,3861,1,83897.83,2/27/2018,5/3/2018,0.48,Same Day,Truck,Good,1
0268-0275,61245-146,1595,4866,1,93066.53,2/28/2018,3/18/2018,0.49,Same Day,Truck,Good,1
11673-245,68387-802,1155,4976,2,76966.08,2/28/2018,5/5/2018,0.41,Standard Class,Air,Okay,1
54569-1647,60681-7002,3336,4602,1,98757.32,2/28/2018,5/3/2018,0.56,Standard Class,Truck,Good,1
58118-1391,36987-1770,3261,4521,1,72732.05,2/28/2018,4/21/2018,0.54,First Class,Truck,Good,1
63323-285,68151-2347,2904,3599,1,93388.29,2/28/2018,4/4/2018,0.57,Same Day,Truck,Very Good,1
55926-0021,52810-411,1907,4682,2,80135.57,1/3/2018,4/4/2018,0.65,Second Class,Truck,Very Good,1
68258-1972,36987-2341,3223,4337,2,93448.22,1/3/2018,4/5/2018,0.44,Same Day,Truck,Good,1
76439-252,36800-517,3390,4152,2,79925.88,1/3/2018,4/14/2018,0.58,Standard Class,Truck,Very Bad,1
0527-1366,42507-612,2125,3860,2,93563.33,2/3/2018,5/4/2018,0.69,First Class,Air,Very Bad,1
114522-2683,52644-003,3774,4957,2,77606.71,2/3/2018,5/14/2018,0.67,Standard Class,Air,Okay,1
11673-679,0338-0047,3263,4657,2,89080.71,2/3/2018,3/4/2018,0.51,Standard Class,Truck,Bad,1
43857-0117,58517-340,2078,3643,2,96416.25,2/3/2018,5/18/2018,0.55,First Class,Air,Bad,1
52125-862,54868-6387,1795,3774,1,77798.74,2/3/2018,5/4/2018,0.43,Standard Class,Truck,Good,1
59045-1001,50436-8102,1641,3528,1,72305.48,2/3/2018,4/23/2018,0.68,Second Class,Truck,Bad,1
64942-1176,0013-2653,1110,4210,2,88119.82,2/3/2018,5/18/2018,0.68,Same Day,Air,Okay,1
58118-0570,58232-9911,3762,3624,2,90507.79,3/3/2018,5/4/2018,0.4,Same Day,Air,Very Bad,1
37012-160,76237-162,1888,4315,2,93635.82,3/3/2018,5/5/2018,0.49,Standard Class,Air,Okay,1
49230-203,61995-0212,1582,4548,1,77566.5,3/3/2018,5/4/2018,0.69,Same Day,Truck,Okay,1
63874-687,36987-3131,1812,3992,2,87633.51,3/3/2018,5/5/2018,0.48,Same Day,Air,Okay,1
68645-468,76119-1214,2417,4451,1,70414.13,2/3/2018,5/4/2018,0.66,Standard Class,Truck,Very Good,1
